Age_PP
N_Adultes_CC
N_enfants_CC
N_Membres_CC
N_Contacts_A
NIR_T
CA_dom_A
Cap_Accum
Dispo_Mensuel
Flux_Corr
SM_DAV_A
E_DAV
E_CSL
E_Tiwi
E_LMZ
E_LDD
E_LEP
E_CEL
E_PEL
T_PERP
T_Collecte
T_Ep_Risque
T_Ep_Taux_Fixe
T_Epar_Assur
T_Epargne
T_Liquidités
T_Livrets
T_Cpt_Titres
T_PEA
N_DAV
N_CSL
N_Tiwi
N_LMZ
N_LDD
N_LEP
N_Livrets
N_Cel
N_PEL
N_PERP
N_Cpt_Titres
N_PEA
N_Cpt_Tit_PEA
Tarif_reel
T_P_Auto
T_P_Etudiant
T_P_Habitat
T_Conso
T_P_Familiaux
T_Carte_Ret
T_Carte_Paiement
T_Carte
N_IARD_Auto
N_IARD_MRH
N_IARD_PJ
N_Assur_Obseques
T_Contrats_IARD
N_Dependance
N_GAV
N_IVP
N_VP
T_IVP_VP
T_Ass_Personnes
T_Ass_Sante
T_Comptes_Services
Mt_Paiem_Carte
Mt_Prelev_Auto
N_Cheque_Emis
N_Connexion_Cael
N_Ope_credit
N_Ope_debit
N_Ope_Tot
N_Paiem_Carte
N_Prelev_Auto
N_Remise_Chq
N_Ret_GAB
N_Ret_Guichet
N_Versements
N_Vir_Recus
T_Vir_Emis
N_Prod_Collecte
N_Services
N_Produits
